Mapping ID,Mapping Type,Source Field Name,Source Field Path,Source Datatype,Source Format / Length,Source Required,Source Cardinality,Source Allowed Values,Source Sample Value (masked),Source Description,Target Field Name,Target Field Path,Target Datatype,Target Format / Length,Target Required,Target Cardinality,Target Allowed Values,Target Sample Value (masked),Target Description,Business Concept,Domain Playbook,Transformation Type,Transformation Rule,Transformation Expression,Condition,Default Value,Confidence %,Confidence Band,Reasoning,Evidence Sources,Data Loss Risk,PII / Sensitivity,Target Validation Rules,Review Status,Reviewer,Review Date,Reviewer Comments,Open Question
M001,1:1,legalName,$.account.legalName,string,max 120,Yes,Single,,Blue Harbor Coffee LLC,Registered legal name,LegalName,/UnderwritingRequest/Merchant/LegalName,xs:string,max 100,Yes,Single,,,Legal entity name as registered with the state,LegalEntity.LegalName,,Direct,Copy; truncate to 100 characters,"substring($.account.legalName, 0, 100)",,,98,High,Exact name match after normalization; both described as the registered legal name.,Sample: sales-alpha-sample-llc.json — Value is an entity name with legal suffix | Documentation: UW_Core_Integration_Guide_v4.2.pdf p.6,"Low — Source allows 120 chars, target 100",None,Required | Max length 100,Auto-accepted,,,,
M002,1:1,dbaName,$.account.dbaName,string,max 80,Yes,Single,,Blue Harbor Coffee,,DoingBusinessAs,/UnderwritingRequest/Merchant/DoingBusinessAs,xs:string,max 80,Yes,Single,,,,LegalEntity.DbaName,,Rename,Copy,$.account.dbaName,,,96,High,Synonym match: DBA = Doing Business As (entity-type playbook alias list).,Playbook: domain/entity-type@1.0.0 — Alias dbaName ↔ DoingBusinessAs,None,None,Required,Auto-accepted,,,,
M003,1:1,taxId,$.account.taxId,string,#########,Yes,Single,,*****6789,"SSN for sole proprietors, EIN otherwise",TaxId,/UnderwritingRequest/Merchant/TaxId/Number,xs:string,"9 digits, no dashes",Yes,Single,,,,LegalEntity.TaxId,domain/tax-id@1.0.0,Type Cast,Strip dashes and spaces,"replace($.account.taxId, /[^0-9]/, '')",,,95,High,Both are the merchant tax identifier; value pattern is 9 digits in all samples.,Sample: sales-alpha-sample-llc.json — 9-digit pattern | Schema: uw-core-request-4.2.xsd — pattern [0-9]{9},None,Sensitive PII,Required | Pattern [0-9]{9},Auto-accepted,,,,
M004,Derived,entityType,$.account.entityType,string,,Yes,Single,"SOLE_PROP, LLC, CORP, PARTNERSHIP, NON_PROFIT",LLC,,TaxIdType,/UnderwritingRequest/Merchant/TaxId/@type,xs:string,,Yes,Single,"SSN, EIN",,,LegalEntity.TaxIdType,domain/tax-id@1.0.0,Conditional,"SSN when entity is a sole proprietor, otherwise EIN",$.account.entityType = 'SOLE_PROP' ? 'SSN' : 'EIN',entityType = SOLE_PROP,,90,High,SalesAlpha has no explicit tax-id type; tax-id playbook derives it from entity type.,Playbook: domain/tax-id@1.0.0 — Rule TIN-TYPE-01 | Documentation: UW_Core_Integration_Guide_v4.2.pdf p.7,None,None,,Approved,a.sharma,2026-09-21,,
M005,1:1,entityType,$.account.entityType,string,,Yes,Single,"SOLE_PROP, LLC, CORP, PARTNERSHIP, NON_PROFIT",LLC,,OwnershipType,/UnderwritingRequest/Merchant/OwnershipType,xs:string,,Yes,Single,"SP, LLC, C, P, NP",,,LegalEntity.EntityType,domain/entity-type@1.0.0,Enum Map,Map SalesAlpha entity codes to UW ownership codes,"lookup(entityTypeMap, $.account.entityType)",,,88,High,Both fields enumerate legal structure; all 5 source codes have a playbook-known target code.,Field Spec: SalesAlpha_Field_Dictionary.xlsx row 14 | Schema: uw-core-request-4.2.xsd — enumeration SP|LLC|C|P|NP,Low — S-Corp distinction is lost,None,,Approved,a.sharma,2026-09-21,S-Corp loss acceptable for UW rules,
M006,Many:1,owners[].firstName | owners[].lastName,$.owners[*].firstName | $.owners[*].lastName,string | string,,Yes | Yes,Array | Array,,Maria | Lopez,,Officer/FullName,/UnderwritingRequest/Officers/Officer/FullName,xs:string,,Yes,Array,,,,Principal.FullName,domain/principals@1.0.0,Concat,"firstName + ' ' + lastName, one Officer per owner",$.owners[*].(firstName & ' ' & lastName),,,90,High,Owners[] and Officers[] are both principal collections (principals playbook alias). Child fields match on name parts.,Playbook: domain/principals@1.0.0 — Alias Owners ↔ Officers | Sample: sales-alpha-sample-llc.json — 2 owners,None,PII,,Auto-accepted,,,,
M007,1:1,owners[].ownershipPercent,$.owners[*].ownershipPercent,number,fraction 0-1,No,Array,,0.25,,Officer/OwnershipPct,/UnderwritingRequest/Officers/Officer/OwnershipPct,xs:decimal,0-100,Yes,Array,,,,Principal.OwnershipPercent,domain/principals@1.0.0,Unit Conversion,Fraction → percent (× 100),$.owners[*].ownershipPercent * 100,,,72,Medium,"Same concept, but samples show fractions (0.25) while UW expects 0-100. Unit inferred from 2 samples only.",Sample: sales-alpha-sample-llc.json — Values 0.25 and 0.75 | Documentation: UW_Core_Integration_Guide_v4.2.pdf p.8 — OwnershipPct 0-100,Medium — Wrong unit assumption would under-report ownership 100×,None,Sum of OwnershipPct <= 100,Needs review,,,,Confirm with SalesAlpha team that ownershipPercent is always a fraction.
M008,1:1,owners[].ssn,$.owners[*].ssn,string,,Yes,Array,,***-**-4321,,Officer/SSN,/UnderwritingRequest/Officers/Officer/SSN,xs:string,9 digits,Yes,Array,,,,Principal.Ssn,domain/principals@1.0.0,Type Cast,Strip dashes,"replace($.owners[*].ssn, '-', '')",,,97,High,Exact concept and pattern match (SSN).,,None,Sensitive PII,Pattern [0-9]{9},Auto-accepted,,,,
M009,1:1,annualCardVolume,$.processing.annualCardVolume,number,USD,Yes,Single,,500000,,MonthlyVolume,/UnderwritingRequest/Processing/MonthlyVolume,xs:decimal,"USD, 2 dp",Yes,Single,,,,ProcessingVolume.Monthly,domain/processing-volume@1.0.0,Period Conversion,"Annual → monthly (÷ 12), round to 2 dp","round($.processing.annualCardVolume / 12, 2)",,,92,High,"Same concept (card processing volume), different period qualifier: annual vs monthly.",Playbook: domain/processing-volume@1.0.0 — Rule VOL-PERIOD-01 | Field Spec: SalesAlpha_Field_Dictionary.xlsx row 31 — Expected annual card sales,Low — Rounding to cents,None,> 0,Auto-accepted,,,,
M010,1:1,averageTicket,$.processing.averageTicket,number,USD,Yes,Single,,12.50,,AverageTicket,/UnderwritingRequest/Processing/AverageTicket,xs:decimal,,Yes,Single,,,,ProcessingVolume.AverageTicket,domain/processing-volume@1.0.0,Direct,,$.processing.averageTicket,,,97,High,Exact name match after normalization.,,None,None,,Auto-accepted,,,,
