Mapping ID,Mapping Type,Source Field Name,Source Field Path,Source Datatype,Source Format / Length,Source Required,Source Cardinality,Source Allowed Values,Source Sample Value (masked),Source Description,Target Field Name,Target Field Path,Target Datatype,Target Format / Length,Target Required,Target Cardinality,Target Allowed Values,Target Sample Value (masked),Target Description,Business Concept,Domain Playbook,Transformation Type,Transformation Rule,Transformation Expression,Condition,Default Value,Confidence %,Confidence Band,Reasoning,Evidence Sources,Data Loss Risk,PII / Sensitivity,Target Validation Rules,Review Status,Reviewer,Review Date,Reviewer Comments,Open Question
M001,Unmapped,,,,,,,,,,sourceChannel,/UnderwritingRequest/@sourceChannel,string,,Yes,Single,,SALES_ALPHA,,,,Direct,,,,,,,No playbook recognises this field and no source field matches it.,,None,None,Likely required (present in every sample),Needs review,,,,
M002,Unmapped,,,,,,,,,,requestId,/UnderwritingRequest/@requestId,string,,Yes,Single,,UW-778812,,,,Direct,,,,,,,No playbook recognises this field and no source field matches it.,,None,None,Likely required (present in every sample),Needs review,,,,
M003,1:1,legalName,$.account.legalName,string,,Yes,Single,,Northwind Provisions Inc,,LegalName,/UnderwritingRequest/Merchant/LegalName,string,,Yes,Single,,Northwind Provisions Inc,,,,Direct,Copy,,,,70,Medium,"Matched by field name only (legalName ~ LegalName); no playbook rule links the two fields. Needs review: Name-only match; confirm the meaning, then add the terms to a playbook.","Name Similarity: legalName ~ LegalName — Name score 70 | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.account.legalName observed | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Merchant/LegalName observed",None,None,Likely required (present in every sample),Needs review,,,,
M004,1:1,dbaName,$.account.dbaName,string,,Yes,Single,,Northwind Market,,DoingBusinessAs,/UnderwritingRequest/Merchant/DoingBusinessAs,string,,Yes,Single,,Northwind Market,,,,Rename,Copy dbaName to DoingBusinessAs,,,,60,Medium,"Matched by field name only (dbaName ~ DoingBusinessAs); no playbook rule links the two fields. Needs review: Name-only match; confirm the meaning, then add the terms to a playbook.","Name Similarity: dbaName ~ DoingBusinessAs — Name score 60 | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.account.dbaName observed | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Merchant/DoingBusinessAs observed",None,None,Likely required (present in every sample),Needs review,,,,
M005,Derived,entityType,$.account.entityType,string,,Yes,Single,,CORP,,type,/UnderwritingRequest/Merchant/TaxId/@type,string,,Yes,Single,,EIN,,LegalEntity.TaxIdType,domain/tax-id@1.0.0,Conditional,Sole proprietors usually use the owner's SSN; every other entity type uses an EIN. (TIN-TYPE-01),,entityType in (SOLE_PROP) → SSN; otherwise → EIN,EIN,90,High,No source field is LegalEntity.TaxIdType; domain/tax-id@1.0.0 infers it with conditional rule TIN-TYPE-01 from LegalEntity.EntityType. Needs review: Conditional rule TIN-TYPE-01 infers the value; confirm the exceptions with the business.,"Playbook: domain/tax-id@1.0.0 — Condition TIN-TYPE-01: entityType in (SOLE_PROP) → SSN; otherwise → EIN | Playbook: domain/entity-type@1.0.0 — Source $.account.entityType: Name matches equivalent term 'EntityType' (+60). Ancestor 'account' names the LegalEntity concept (+25). Signal ENT-SIG-CODES (values are known entity-type codes) (+20). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.account.entityType observed | Playbook: domain/tax-id@1.0.0 — Target /UnderwritingRequest/Merchant/TaxId/@type: Name matches equivalent term 'TaxIdType' (+60). Ancestor 'Merchant' names the LegalEntity concept (+25). Signal TAX-SIG-TYPE-CODES (values are tax-id type codes) (+20). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Merchant/TaxId/@type observed",None,None,Likely required (present in every sample),Needs review,,,,"Does the source separate general and limited partnerships, and S corporations from C corporations?"
M006,1:1,taxId,$.account.taxId,string,,Yes,Single,,*****8899,,Number,/UnderwritingRequest/Merchant/TaxId/Number,string,,Yes,Single,,*****8899,,LegalEntity.TaxId,domain/tax-id@1.0.0,Type Cast,Reformat 999-99-9999 → 999999999,,,,95,High,Both fields are recognised as LegalEntity.TaxId by domain/tax-id@1.0.0.,"Playbook: domain/tax-id@1.0.0 — Source $.account.taxId: Name matches equivalent term 'TaxId' (+60). Ancestor 'account' names the LegalEntity concept (+25). Signal TAX-SIG-SHAPE (nine digits, SSN or EIN layout) (+10). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.account.taxId observed | Playbook: domain/tax-id@1.0.0 — Target /UnderwritingRequest/Merchant/TaxId/Number: Name matches equivalent term 'tax id number' (+60). Ancestor 'Merchant' names the LegalEntity concept (+25). Signal TAX-SIG-SHAPE (nine digits, SSN or EIN layout) (+10). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Merchant/TaxId/Number observed",None,Sensitive PII,Likely required (present in every sample),Auto-accepted,,,,
M007,1:1,entityType,$.account.entityType,string,,Yes,Single,,CORP,,OwnershipType,/UnderwritingRequest/Merchant/OwnershipType,string,,Yes,Single,,C,,LegalEntity.EntityType,domain/entity-type@1.0.0,Enum Map,Translate codes through value map ENTITY-TYPES,,,,100,High,Both fields are recognised as LegalEntity.EntityType by domain/entity-type@1.0.0. Needs review: Target spelling unknown for source value(s) LLC.,"Playbook: domain/entity-type@1.0.0 — Source $.account.entityType: Name matches equivalent term 'EntityType' (+60). Ancestor 'account' names the LegalEntity concept (+25). Signal ENT-SIG-CODES (values are known entity-type codes) (+20). | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.account.entityType observed | Playbook: domain/entity-type@1.0.0 — Target /UnderwritingRequest/Merchant/OwnershipType: Name matches equivalent term 'ownership type' (+60). Ancestor 'Merchant' names the LegalEntity concept (+25). Signal ENT-SIG-CODES (values are known entity-type codes) (+20). | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Merchant/OwnershipType observed",None,None,Likely required (present in every sample),Needs review,,,,"Does the source separate general and limited partnerships, and S corporations from C corporations?"
M008,1:1,mcc,$.account.mcc,string,,Yes,Single,,5411,,MCC,/UnderwritingRequest/Merchant/MCC,integer,,Yes,Single,,5411,,,,Type Cast,Convert string → integer,,,,70,Medium,"Matched by field name only (mcc ~ MCC); no playbook rule links the two fields. Needs review: Name-only match; confirm the meaning, then add the terms to a playbook.","Name Similarity: mcc ~ MCC — Name score 70 | Sample: corp-three-owners.json, llc-two-owners.json, sole-prop.json — Source $.account.mcc observed | Sample: corp-application.xml, sole-prop-application.xml — Target /UnderwritingRequest/Merchant/MCC observed",Low — Source text holds numbers in every sample.,None,Likely required (present in every sample),Needs review,,,,
M009,Unmapped,,,,,,,,,,YearsInBusiness,/UnderwritingRequest/Merchant/YearsInBusiness,integer,,Yes,Single,,12,,,,Direct,,,,,,,No playbook recognises this field and no source field matches it.,,None,None,Likely required (present in every sample),Needs review,,,,
M010,Unmapped,,,,,,,,,,EstablishedDate,/UnderwritingRequest/Merchant/EstablishedDate,date,MM/dd/yyyy,Yes,Single,,03/15/2014,,,,Direct,,,,,,,No playbook recognises this field and no source field matches it.,,None,None,Likely required (present in every sample),Needs review,,,,
